,tec00115,teilm_F,teilm_M,tec00118,teimf00118,tsdsc260,tet00002,tsc00001,tsc00004
AT,0.3,5.3,4.9,2.1,2.17,4.1,-672.40,2.84,4571.42
BE,0.2,8.1,8.8,1.2,2.43,3.9,1267.29,2.24,3946.73
BG,0.9,11.8,13.7,0.4,3.43,6.6,-495.57,0.64,1550.54
CH,1.9,4.6,4.1,0.1,0.9,4.4,2336.09,2.87,3127.48
CY,-5.4,15.5,17.5,0.4,6,4.9,-3729.16,0.46,1033.63
CZ,-0.9,8,5.6,1.4,2.2,3.4,1290.11,1.88,3154.11
DE,0.4,4.9,5.5,1.6,1.8,4.6,2466.51,2.98,4326.87
DK,0.4,7.6,6.6,0.5,1.89,4.3,1806.47,2.98,6724.52
EA17,-0.4,12,11.7,1.4,2.97,5,477.16,2.17,3473.25
EE,2.2,7.9,8.7,3.2,0,5.5,-1061.22,2.18,3461.66
EL,-3.9,30.9,24.5,-0.9,8.66,6.6,-1738.76,0.69,2180.52
ES,-1.2,26.3,24.9,1.5,4.13,6.3,-379.67,1.3,2713.11
EU28,0.1,10.7,10.5,1.5,3.03,5,108.04,2.07,3285.71
FI,-1.4,7.8,8.9,2.2,2.03,3.6,-413.51,3.55,7457.24
FR,0.2,10.1,10.3,1,2.33,4.5,-1163.61,2.29,3798.27
HR,-0.9,17.5,16.8,2.3,5.1,5.4,-1604.59,0.75,1569.16
HU,1.1,9.1,8.5,1.7,5.78,4.2,607.04,1.3,2405.64
IE,-0.3,10.2,13.5,0.5,3.48,4.7,8007.25,1.72,3458.88
IT,-1.9,13.5,11.7,1.3,4.11,5.7,509.02,1.27,1856.79
JP,1.5,3.5,3.9,0.36,0.7,9.9,-695.08,3.25,5159.51
LT,3.3,10.2,12.4,1.2,3.69,6.1,-657.15,0.9,2699.62
LU,2.1,6,6.1,1.7,2.1,4.1,-11557.82,1.46,6092.67
LV,4.1,10.7,12.3,0,3.62,6.3,-1243.68,0.66,1929.02
MT,2.9,6,6.6,1,3.19,4.1,-4169.79,0.84,1881.98
NL,-0.8,6.6,7.4,2.6,2.16,3.6,3679.77,2.16,3492.28
PL,1.6,10.6,9.4,0.8,4.42,4.9,-59.79,0.9,1738.78
PT,-1.4,15.6,14.8,0.4,6.04,6,-882.59,1.5,4833.85
RO,3.5,6.2,7.7,3.2,5.29,6.6,-285.06,0.49,899.90
SE,1.6,7.8,8.1,0.4,2.39,3.7,618.47,3.41,5157.03
SI,-1.1,10.6,9.3,1.9,5.27,3.6,234.60,2.8,4416.61
SK,0.9,13.9,14.1,1.5,2.69,3.6,568.86,0.82,2822.30
UK,1.7,6.7,7.3,2.6,2.5,4.6,-1325.02,1.72,3953.54
US,2.2,6.5,6.8,1.5,3.6,12.8,-1639.75,2.67,4484.57
